./2_warp_id_and_thread_id.exe | sort > 2_warp_id_and_thread_id.txt

gid : 158, gbid : 3, warp_id : 1, tid : 32, bid.x : 1, bid.y : 1 
gid : 159, gbid : 3, warp_id : 1, tid : 33, bid.x : 1, bid.y : 1 
gid : 160, gbid : 3, warp_id : 1, tid : 34, bid.x : 1, bid.y : 1 
gid : 161, gbid : 3, warp_id : 1, tid : 35, bid.x : 1, bid.y : 1 
gid : 162, gbid : 3, warp_id : 1, tid : 36, bid.x : 1, bid.y : 1 
gid : 163, gbid : 3, warp_id : 1, tid : 37, bid.x : 1, bid.y : 1 
gid : 164, gbid : 3, warp_id : 1, tid : 38, bid.x : 1, bid.y : 1 
gid : 165, gbid : 3, warp_id : 1, tid : 39, bid.x : 1, bid.y : 1 
gid : 166, gbid : 3, warp_id : 1, tid : 40, bid.x : 1, bid.y : 1 
gid : 167, gbid : 3, warp_id : 1, tid : 41, bid.x : 1, bid.y : 1 
